#fte: [20-02-2018] http://switchoffandletsgo.blogspot.com.es/2013/04/relacionar-el-codigo-ine-con-su-codigo.html
#CodigoPostal	Municipio
01240	Alegría-Dulantzi
01193	Alegría-Dulantzi
01450	Amurrio
01468	Amurrio
01470	Amurrio
01160	Aramaio
01165	Aramaio
01169	Aramaio
01474	Artziniega
01478	Artziniega
01211	Armiñón
01220	Armiñón
01510	Arratzua-Ubarrundia
01520	Arratzua-Ubarrundia
01250	Asparrena
01260	Asparrena
01208	Asparrena
01408	Ayala/Aiara
01470	Ayala/Aiara
01476	Ayala/Aiara
01477	Ayala/Aiara
01478	Ayala/Aiara
01479	Ayala/Aiara
01307	Baños de Ebro/Mañueta
01206	Barrundia
01208	Barrundia
01211	Berantevilla
01220	Berantevilla
01212	Berantevilla
01118	Bernedo
01128	Bernedo
01194	Bernedo
01216	Bernedo
01110	Campezo/Kanpezu
01117	Campezo/Kanpezu
01128	Campezo/Kanpezu
01138	Zigoitia
01196	Zigoitia
01308	Kripan
01439	Kuartango
01430	Kuartango
01192	Elburgo/Burgelu
01193	Elburgo/Burgelu
01340	Elciego
01309	Elvillar/Bilar
01193	Iruraiz-Gauna
01206	Iruraiz-Gauna
01207	Iruraiz-Gauna
01012	Labastida/Bastida
01212	Labastida/Bastida
01330	Labastida/Bastida
01118	Lagrán
01211	Lagrán
01309	Laguardia
01308	Laguardia
01300	Laguardia
01321	Laguardia
01308	Lanciego/Lantziego
01306	Lapuebla de Labarca
01309	Leza
01400	Laudio/Llodio
01120	Arraia-Maeztu
01128	Arraia-Maeztu
01129	Arraia-Maeztu
01322	Moreda de Álava/Moreda Araba
01309	Navaridas
01409	Okondo
01320	Oyón-Oion
01322	Oyón-Oion
01212	Peñacerrada-Urizaharra
01216	Peñacerrada-Urizaharra
01211	Peñacerrada-Urizaharra
01213	Erriberagoitia/Ribera Alta
01220	Erriberagoitia/Ribera Alta
01420	Erriberagoitia/Ribera Alta
01423	Erriberagoitia/Ribera Alta
01426	Erriberagoitia/Ribera Alta
01428	Erriberagoitia/Ribera Alta
01213	Ribera Baja/Erribera Beitia
01220	Ribera Baja/Erribera Beitia
01426	Añana
01423	Añana
01200	Salvatierra/Agurain
01207	Salvatierra/Agurain
01307	Samaniego
01207	San Millán/Donemiliaga
01208	San Millán/Donemiliaga
01440	Urkabustaiz
01449	Urkabustaiz
01450	Urkabustaiz
01423	Valdegovía/Gaubea
01426	Valdegovía/Gaubea
01427	Valdegovía/Gaubea
01428	Valdegovía/Gaubea
01117	Harana/Valle de Arana
01307	Villabuena de Álava/Eskuernaga
01510	Legutio
01170	Legutio
01171	Legutio
01003	Vitoria-Gasteiz
01520	Vitoria-Gasteiz
01510	Vitoria-Gasteiz
01196	Vitoria-Gasteiz
01195	Vitoria-Gasteiz
01013	Vitoria-Gasteiz
01194	Vitoria-Gasteiz
01193	Vitoria-Gasteiz
01192	Vitoria-Gasteiz
01191	Vitoria-Gasteiz
01015	Vitoria-Gasteiz
01010	Vitoria-Gasteiz
01009	Vitoria-Gasteiz
01008	Vitoria-Gasteiz
01007	Vitoria-Gasteiz
01006	Vitoria-Gasteiz
01004	Vitoria-Gasteiz
01012	Vitoria-Gasteiz
01002	Vitoria-Gasteiz
01001	Vitoria-Gasteiz
01005	Vitoria-Gasteiz
01322	Yécora/Iekora
01208	Zalduondo
01212	Zambrana
01139	Zuia
01450	Zuia
01130	Zuia
01195	Iruña Oka/Iruña de Oca
01230	Iruña Oka/Iruña de Oca
01428	Iruña Oka/Iruña de Oca
01191	Iruña Oka/Iruña de Oca
01213	Lantarón
01423	Lantarón
02250	Abengibre
02152	Alatoz
02099	Albacete
02140	Albacete
02155	Albacete
02328	Albacete
02512	Albacete
02071	Albacete
02511	Albacete
02008	Albacete
02006	Albacete
02005	Albacete
02004	Albacete
02003	Albacete
02001	Albacete
02002	Albacete
02049	Albacete
02653	Albatana
02215	Alborea
02128	Alcadozo
02124	Alcadozo
02252	Alcalá del Júcar
02210	Alcalá del Júcar
02211	Alcalá del Júcar
02214	Alcalá del Júcar
02330	Alcaraz
02314	Alcaraz
02312	Alcaraz
02300	Alcaraz
02640	Almansa
02690	Alpera
02124	Ayna
02125	Ayna
02126	Ayna
02139	Ayna
02999	Ayna
02320	Balazote
02213	Balsa de Ves
02214	Balsa de Ves
02614	Ballestero, El
02639	Barrax
02360	Bienservida
02130	Bogarra
02138	Bogarra
02139	Bogarra
02448	Bogarra
02691	Bonete
02613	Bonillo, El
02610	Bonillo, El
02153	Carcelén
02151	Casas de Juan Núñez
02329	Casas de Lázaro
02212	Casas de Ves
02200	Casas-Ibáñez
02660	Caudete
02247	Cenizate
02693	Corral-Rubio
02461	Cotillas
02510	Chinchilla de Monte-Aragón
02695	Chinchilla de Monte-Aragón
02692	Chinchilla de Monte-Aragón
02520	Chinchilla de Monte-Aragón
02156	Chinchilla de Monte-Aragón
02529	Chinchilla de Monte-Aragón
02430	Elche de la Sierra
02439	Elche de la Sierra
02449	Elche de la Sierra
02470	Elche de la Sierra
02436	Férez
02637	Fuensanta
02651	Fuente-Álamo
02249	Fuentealbilla
02260	Fuentealbilla
02251	Fuentealbilla
02110	Gineta, La
02253	Golosalvo
02400	Hellín
02409	Hellín
02420	Hellín
02490	Hellín
02498	Hellín
02499	Hellín
02162	Herrera, La
02690	Higueruela
02694	Higueruela
02696	Hoya-Gonzalo
02248	Jorquera
02249	Jorquera
02434	Letur
02160	Lezuza
02161	Lezuza
02124	Liétor
02142	Liétor
02410	Liétor
02230	Madrigueras
02240	Mahora
02314	Masegoso
02620	Minaya
02448	Molinicos
02449	Molinicos
02440	Molinicos
02638	Montalvos
02650	Montealegre del Castillo
02220	Motilleja
02612	Munera
02246	Navas de Jorquera
02536	Nerpio
02539	Nerpio
02537	Nerpio
02535	Nerpio
02534	Nerpio
02530	Nerpio
02538	Nerpio
02652	Ontur
02611	Ossa de Montiel
02136	Paterna del Madera
02137	Paterna del Madera
02138	Paterna del Madera
02459	Paterna del Madera
02138	Peñascosa
02313	Peñascosa
02314	Peñascosa
02120	Peñas de San Pedro
02128	Peñas de San Pedro
02127	Peñas de San Pedro
02692	Pétrola
02311	Povedilla
02129	Pozohondo
02141	Pozohondo
02142	Pozohondo
02154	Pozo-Lorente
02327	Pozuelo
02249	Recueja, La
02459	Riópar
02462	Riópar
02450	Riópar
02332	Robledo
02340	Robledo
02331	Robledo
02630	Roda, La
02639	Roda, La
02316	Salobre
02326	San Pedro
02435	Socovos
02437	Socovos
02100	Tarazona de la Mancha
02110	Tarazona de la Mancha
02500	Tobarra
02514	Tobarra
02513	Tobarra
02150	Valdeganga
02315	Vianos
02213	Villa de Ves
02636	Villalgordo del Júcar
02270	Villamalea
02350	Villapalacios
02600	Villarrobledo
02612	Villarrobledo
02215	Villatoya
02154	Villavaliente
02460	Villaverde de Guadalimar
02462	Villaverde de Guadalimar
02310	Viveros
02480	Yeste
02482	Yeste
02484	Yeste
02485	Yeste
02486	Yeste
02487	Yeste
02488	Yeste
02489	Yeste
02099	Pozo Cañada
02510	Pozo Cañada
03786	Adsubia
03698	Agost
03837	Agres
03569	Aigües
03340	Albatera
03723	Alcalalí
03728	Alcalalí
03841	Alcocer de Planes
03814	Alcoleja
03818	Alcoy/Alcoi
03804	Alcoy/Alcoi
03803	Alcoy/Alcoi
03802	Alcoy/Alcoi
03800	Alcoy/Alcoi
03801	Alcoy/Alcoi
03838	Alfafara
03580	Alfàs del Pi, l'
03581	Alfàs del Pi, l'
03169	Algorfa
03668	Algueña
03138	Alicante/Alacant
03015	Alicante/Alacant
03016	Alicante/Alacant
03112	Alicante/Alacant
03113	Alicante/Alacant
03006	Alicante/Alacant
03115	Alicante/Alacant
03409	Alicante/Alacant
03540	Alicante/Alacant
03559	Alicante/Alacant
03699	Alicante/Alacant
03014	Alicante/Alacant
03114	Alicante/Alacant
03004	Alicante/Alacant
03001	Alicante/Alacant
03008	Alicante/Alacant
03003	Alicante/Alacant
03013	Alicante/Alacant
03005	Alicante/Alacant
03007	Alicante/Alacant
03009	Alicante/Alacant
03010	Alicante/Alacant
03011	Alicante/Alacant
03012	Alicante/Alacant
03002	Alicante/Alacant
03160	Almoradí
03179	Almoradí
03827	Almudaina
03829	Alqueria d'Asnar, l'
03590	Altea
03599	Altea
03680	Aspe
03812	Balones
03450	Banyeres de Mariola
03814	Benasau
03460	Beneixama
03469	Beneixama
03390	Benejúzar
03316	Benferri
03778	Beniarbeig
03517	Beniardá
03850	Beniarrés
03794	Benigembla
03759	Benidoleig
03501	Benidorm
03502	Benidorm
03503	Benidorm
03816	Benifallim
03517	Benifato
03178	Benijófar
03810	Benilloba
03827	Benillup
03516	Benimantell
03827	Benimarfull
03812	Benimassot
03769	Benimeli
03720	Benissa
03726	Benitachell/Poble Nou de Benitatxell, el
03410	Biar
03380	Bigastro
03518	Bolulla
03111	Busot
03710	Calp
03510	Callosa d'En Sarrià
03317	Callosa de Segura
03360	Callosa de Segura
03560	Campello, el
03469	Campo de Mirra/Camp de Mirra, el
03409	Cañada
03420	Castalla
03793	Castell de Castells
03158	Catral
03829	Cocentaina
03820	Cocentaina
03517	Confrides
03350	Cox
03158	Crevillent
03330	Crevillent
03339	Crevillent
03811	Quatretondeta
03159	Daya Nueva
03177	Daya Vieja
03709	Dénia
03780	Dénia
03770	Dénia
03700	Dénia
03749	Dénia
03150	Dolores
03205	Elche/Elx
03320	Elche/Elx
03296	Elche/Elx
03295	Elche/Elx
03294	Elche/Elx
03293	Elche/Elx
03292	Elche/Elx
03291	Elche/Elx
03290	Elche/Elx
03208	Elche/Elx
03206	Elche/Elx
03204	Elche/Elx
03203	Elche/Elx
03202	Elche/Elx
03201	Elche/Elx
03195	Elche/Elx
03194	Elche/Elx
03139	Elche/Elx
03207	Elche/Elx
03600	Elda
03813	Facheca
03813	Famorca
03509	Finestrat
03177	Formentera del Segura
03179	Formentera del Segura
03740	Gata de Gorgos
03840	Gaianes
03811	Gorga
03348	Granja de Rocamora
03517	Castell de Guadalest, el
03140	Guardamar del Segura
03688	Fondó de les Neus, el/Hondón de las Nieves
03689	Fondó de les Neus, el/Hondón de las Nieves
03689	Hondón de los Frailes
03440	Ibi
03310	Jacarilla
03727	Xaló
03730	Jávea/Xàbia
03737	Jávea/Xàbia
03738	Jávea/Xàbia
03739	Jávea/Xàbia
03100	Jijona/Xixona
03860	Lorcha/Orxa, l'
03729	Llíber
03812	Millena
03679	Monforte del Cid
03670	Monforte del Cid
03640	Monóvar/Monòver
03649	Monóvar/Monòver
03110	Mutxamel
03792	Murla
03830	Muro de Alcoy
03839	Muro de Alcoy
03660	Novelda
03530	Nucia, la
03760	Ondara
03430	Onil
03795	Orba
03792	Orba
03790	Orba
03791	Orba
03579	Orxeta
03312	Orihuela
03315	Orihuela
03316	Orihuela
03689	Orihuela
03314	Orihuela
03313	Orihuela
03310	Orihuela
03300	Orihuela
03192	Orihuela
03191	Orihuela
03189	Orihuela
03369	Orihuela
03311	Orihuela
03792	Parcent
03750	Pedreguer
03780	Pego
03815	Penàguila
03610	Petrer
03658	Pinós, el/Pinoso
03659	Pinós, el/Pinoso
03650	Pinós, el/Pinoso
03657	Pinós, el/Pinoso
03828	Planes
03520	Polop
03369	Rafal
03769	Ràfol d'Almúnia, El
03370	Redován
03578	Relleu
03170	Rojales
03669	Romana, la
03795	Sagra
03409	Salinas
03638	Salinas
03658	Salinas
03769	Sanet y Negrals
03177	San Fulgencio
03550	Sant Joan d'Alacant
03193	San Miguel de Salinas
03130	Santa Pola
03690	San Vicente del Raspeig/Sant Vicent del Raspeig
03630	Sax
03579	Sella
03729	Senija
03518	Tàrbena
03724	Teulada
03725	Teulada
03109	Tibi
03813	Tollos
03795	Tormos
03108	Torremanzanas/Torre de les Maçanes, la
03180	Torrevieja
03181	Torrevieja
03182	Torrevieja
03183	Torrevieja
03184	Torrevieja
03185	Torrevieja
03186	Torrevieja
03188	Torrevieja
03788	Vall d'Alcalà, la
03789	Vall d'Ebo, la
03787	Vall de Gallinera
03788	Vall de Gallinera
03791	Vall de Laguar, la
03770	Verger, el
03570	Villajoyosa/Vila Joiosa, la
03400	Villena
03408	Villena
03409	Villena
03639	Villena
03779	Poblets, els
03190	Pilar de la Horadada
03191	Pilar de la Horadada
03187	Montesinos, Los
03349	San Isidro
04510	Abla
04533	Abrucena
04520	Abrucena
04770	Adra
04778	Adra
04779	Adra
04857	Albánchez
04858	Albánchez
04531	Alboloduy
04558	Alboloduy
04800	Albox
04814	Albox
04812	Albox
04600	Albox
04813	Albox
04692	Albox
04480	Alcolea
04768	Alcolea
04897	Alcóntar
04898	Alcóntar
04276	Alcudia de Monteagud
04567	Alhabia
04400	Alhama de Almería
04409	Alicún
04009	Almería
04160	Almería
04150	Almería
04131	Almería
04002	Almería
04130	Almería
04120	Almería
04008	Almería
04007	Almería
04006	Almería
04005	Almería
04003	Almería
04001	Almería
04004	Almería
04458	Almócita
04568	Alsodux
04628	Antas
04629	Antas
04660	Arboleas
04888	Armuña de Almanzora
04889	Bacares
04479	Bayárcal
04779	Bayárcal
04888	Bayarque
04288	Bédar
04289	Bédar
04458	Beires
04410	Benahadux
04276	Benitagla
04276	Benizalón
04274	Benizalón
04569	Bentarique
04713	Berja
04760	Berja
04768	Berja
04769	Berja
04450	Canjáyar
04815	Cantoria
04850	Cantoria
04858	Cantoria
04140	Carboneras
04149	Carboneras
04212	Castro de Filabres
04859	Cóbdar
04610	Cuevas del Almanzora
04616	Cuevas del Almanzora
04617	Cuevas del Almanzora
04618	Cuevas del Almanzora
04619	Cuevas del Almanzora
04647	Cuevas del Almanzora
04648	Cuevas del Almanzora
04859	Chercos
04825	Chirivel
04750	Dalías
04729	Enix
04728	Felix
04869	Fines
04500	Fiñana
04460	Fondón
04479	Fondón
04560	Gádor
04280	Gallardos, Los
04288	Gallardos, Los
04289	Gallardos, Los
04630	Garrucha
04558	Gérgal
04550	Gérgal
04549	Gérgal
04559	Gérgal
04409	Huécija
04230	Huércal de Almería
04600	Huércal-Overa
04662	Huércal-Overa
04690	Huércal-Overa
04691	Huércal-Overa
04692	Huércal-Overa
04693	Huércal-Overa
04694	Huércal-Overa
04964	Huércal-Overa
04431	Illar
04430	Instinción
04868	Laroya
04470	Láujar de Andarax
04859	Líjar
04271	Lubrín
04114	Lucainena de las Torres
04210	Lucainena de las Torres
04211	Lucainena de las Torres
04877	Lúcar
04887	Lúcar
04867	Macael
04838	María
04839	María
04638	Mojácar
04639	Mojácar
04540	Nacimiento
04149	Níjar
04151	Níjar
04147	Níjar
04119	Níjar
04118	Níjar
04117	Níjar
04115	Níjar
04114	Níjar
04113	Níjar
04188	Níjar
04110	Níjar
04100	Níjar
04116	Níjar
04459	Ohanes
04212	Olula de Castro
04860	Olula del Río
04810	Oria
04811	Oria
04813	Oria
04899	Oria
04640	Oria
04458	Padules
04810	Partaloa
04479	Paterna del Río
04779	Paterna del Río
04250	Pechina
04259	Pechina
04640	Pulpí
04647	Pulpí
04648	Pulpí
04649	Pulpí
04870	Purchena
04440	Rágol
04260	Rioja
04741	Roquetas de Mar
04743	Roquetas de Mar
04740	Roquetas de Mar
04720	Roquetas de Mar
04568	Santa Cruz de Marchena
04420	Santa Fe de Mondújar
04213	Senés
04890	Serón
04897	Serón
04898	Serón
04899	Serón
04878	Sierro
04877	Somontín
04277	Sorbas
04279	Sorbas
04289	Sorbas
04278	Sorbas
04270	Sorbas
04149	Sorbas
04248	Sorbas
04271	Sorbas
04878	Suflí
04200	Tabernas
04211	Tabernas
04661	Taberno
04692	Taberno
04275	Tahal
04279	Tahal
04569	Terque
04659	Terque
04880	Tíjola
04887	Tíjola
04889	Tíjola
04275	Tíjola
04639	Turre
04211	Turrillas
04274	Uleila del Campo
04279	Uleila del Campo
04879	Urrácal
04212	Velefique
04829	Vélez-Blanco
04839	Vélez-Blanco
04830	Vélez-Blanco
04820	Vélez-Rubio
04826	Vélez-Rubio
04827	Vélez-Rubio
04828	Vélez-Rubio
04829	Vélez-Rubio
04620	Vera
04240	Viator
04727	Vícar
04738	Vícar
04650	Zurgena
04661	Zurgena
04662	Zurgena
04530	Tres Villas, Las
04532	Tres Villas, Las
04700	Ejido, El
04710	Ejido, El
04711	Ejido, El
04712	Ejido, El
04715	Ejido, El
04716	Ejido, El
04745	Mojonera, La
04746	Mojonera, La
05296	Adanero
05430	Adrada, La
05358	Albornos
05580	Aldeanueva de Santa Cruz
05212	Aldeaseca
05593	Aldehuela, La
05560	Amavida
05416	Arenal, El
05400	Arenas de San Pedro
05418	Arenas de San Pedro
05153	Arevalillo
05200	Arévalo
05340	Aveinte
05357	Aveinte
05580	Avellaneda
05001	Ávila
05002	Ávila
05003	Ávila
05004	Ávila
05005	Ávila
05160	Ávila
05194	Ávila
05195	Ávila
05197	Ávila
05600	Barco de Ávila, El
05110	Barraco, El
05278	Barraco, El
05229	Barromán
05610	Becedas
05694	Becedas
05153	Becedillas
05229	Bercial de Zapardiel
05162	Berlanas, Las
05211	Bernuy-Zapardiel
05194	Berrocalejo de Aragona
05146	Blascomillán
05380	Blascomillán
05299	Blasconuño de Matacabras
05290	Blascosancho
05165	Bohodón, El
05630	Bohoyo
05690	Bohoyo
05514	Bonilla de la Sierra
05570	Bonilla de la Sierra
05357	Brabos
05140	Bularros
05340	Bularros
05113	Burgohondo
05513	Burgohondo
05217	Cabezas de Alambre
05211	Cabezas del Pozo
05148	Cabezas del Villar
05165	Cabizuela
05212	Canales
00548	Candeleda
05480	Candeleda
05489	Candeleda
05211	Cantiveros
05320	Cardeñosa
05620	Carrera, La
05571	Casas del Puerto
05140	Casasola
05450	Casavieja
05428	Casillas
05429	Casillas
05229	Castellanos de Zapardiel
05260	Cebreros
05132	Cepeda la Mora
05149	Cillán
05211	Cisla
05192	Colilla, La
05309	Collado de Contreras
05153	Collado del Mirón
05217	Constanzana
05309	Crespos
05300	Crespos
05414	Cuevas del Valle
05141	Chamartín
05217	Donjimeno
05215	Donvidas
05296	Espinosa de los Caballeros
05370	Flores de Ávila
05310	Fontiveros
05427	Fresnedilla
05197	Fresno, El
05212	Fuente el Saúz
05212	Fuentes de Año
05141	Gallegos de Altamiros
05147	Gallegos de Sobrinos
05134	Garganta del Villar
05640	Gavilanes
05460	Gavilanes
05197	Gemuño
05619	Gilbuena
05693	Gil García
05380	Gimialcón
05163	Gotarrendura
05357	Grandes y San Martín
05417	Guisando
05296	Gutierre-Muñoz
05164	Hernansancho
05196	Herradón de Pinares
05294	Herradón de Pinares
05268	Herradón de Pinares
05146	Herreros de Suso
05427	Higuera de las Dueñas
05131	Hija de Dios, La
05695	Horcajada, La
05696	Horcajada, La
05210	Horcajo de las Torres
05415	Hornillo, El
05123	Hoyocasero
05250	Hoyo de Pinares, El
05516	Hoyorredondo
05634	Hoyos del Collado
05634	Hoyos del Espino
05364	Hoyos del Espino
05132	Hoyos de Miguel Muñoz
05147	Hurtumpascual
05694	Junciana
05213	Langa
05490	Lanzahíta
05692	Losar del Barco, El
05690	Llanos de Tormes, Los
05220	Madrigal de las Altas Torres
05291	Maello
05153	Malpartida de Corneja
05298	Mamblas
05146	Mancera de Arriba
05145	Manjabálago
05140	Marlín
05140	Martiherrero
05151	Martínez
05152	Martínez
05194	Mediana de Voltoya
05619	Medinilla
05131	Mengamuñoz
05514	Mesegar de Corneja
05461	Mijares
05161	Mingorría
05280	Mingorría
05154	Mirón, El
05153	Mirón, El
05191	Mironcillo
05146	Mirueña de los Infanzones
05410	Mombeltrán
05491	Mombeltrán
05163	Monsalupe
05299	Moraleja de Matacabras
05540	Muñana
05145	Muñico
05530	Muñogalindo
05309	Muñogrande
05357	Muñogrande
05358	Muñomer del Peco
05192	Muñopepe
05380	Muñosancho
05560	Muñotello
05154	Narrillos del Álamo
05141	Narrillos del Rebollar
05370	Narros del Castillo
05131	Narros del Puerto
05358	Narros de Saldueña
05571	Navacepedilla de Corneja
05216	Nava de Arévalo
05697	Nava del Barco
05134	Navadijos
05514	Navaescurial
05429	Navahondilla
05134	Navalacruz
05120	Navalmoral
05697	Navalonguilla
05123	Navalosa
05240	Navalperal de Pinares
05631	Navalperal de Tormes
05632	Navalperal de Tormes
05100	Navaluenga
05122	Navaquesera
05635	Navarredonda de Gredos
05120	Navarredondilla
05115	Navarrevisca
05230	Navas del Marqués, Las
05239	Navas del Marqués, Las
05122	Navatalgordo
05697	Navatejares
05619	Neila de San Miguel
05191	Niharra
05193	Ojos-Albos
05296	Orbita
05164	Oso, El
05520	Padiernos
05292	Pajares de Adaja
05215	Palacios de Goda
05358	Papatrigo
05146	Parral, El
05150	Pascualcobo
05470	Pedro Bernardo
05165	Pedro-Rodríguez
05239	Peguerinos
05163	Peñalba de Ávila
05500	Piedrahíta
05515	Piedrahíta
05540	Piedralaves
05440	Piedralaves
05560	Poveda
05492	Poyales del Hoyo
05292	Pozanco
05560	Pradosegar
05621	Puerto Castilla
05298	Rasueros
05150	Riocabado
05164	Riocabado
05190	Riofrío
05309	Rivilla de Barajas
05520	Salobral
05380	Salvadiós
05619	San Bartolomé de Béjar
05516	San Bartolomé de Corneja
05267	San Bartolomé de Pinares
05290	Sanchidrián
05141	Sanchorreja
05289	San Esteban de los Patos
05412	San Esteban del Valle
05229	San Esteban de Zapardiel
05146	San García de Ingelmos
05210	San Juan de la Encinilla
05358	San Juan de la Encinilla
05111	San Juan de la Nava
05120	San Juan del Molinillo
05145	San Juan del Olmo
05696	San Lorenzo de Tormes
05133	San Martín de la Vega del Alberche
05132	San Martín del Pimpollar
05514	San Miguel de Corneja
05150	San Miguel de Serrezuela
05164	San Pascual
05350	San Pedro del Arroyo
05413	Santa Cruz del Valle
05268	Santa Cruz de Pinares
05530	Santa María del Arroyo
05511	Santa María del Berrocal
05510	Santa María del Berrocal
05580	Santa María de los Caballeros
05581	Santa María de los Caballeros
05429	Santa María del Tiétar
05592	Santiago del Collado
05292	Santo Domingo de las Posadas
05357	Santo Tomé de Zabarcos
05217	San Vicente de Arévalo
05192	Serrada, La
05115	Serranillos
05116	Serranillos
05357	Sigeres
05215	Sinlabajos
05621	Solana de Ávila
05691	Solana de Ávila
05149	Solana de Rioalmar
05130	Solosancho
05198	Sotalbo
05420	Sotillo de la Adrada
05170	Tiemblo, El
05270	Tiemblo, El
05278	Tiemblo, El
05279	Tiemblo, El
05165	Tiñosillos
05298	Tolbaños
05289	Tolbaños
05697	Tormellas
05196	Tornadizos de Ávila
05514	Tórtoles
05520	Torre, La
05540	Torre, La
05693	Umbrías
05560	Vadillo de la Sierra
05143	Valdecasa
05292	Vega de Santa María
05292	Velayos
05357	Villaflor
05571	Villafranca de la Sierra
05164	Villanueva de Gómez
05212	Villanueva del Aceral
05591	Villanueva del Campillo
05516	Villar de Corneja
05413	Villarejo del Valle
05560	Villatoro
05309	Viñegra de Moraña
05146	Vita
05154	Zapardiel de la Cañada
05631	Zapardiel de la Ribera
05632	San Juan de Gredos
05633	San Juan de Gredos
05193	Santa María del Cubillo
05151	Diego del Carpio
05630	Santiago del Tormes
05114	Villanueva de Ávila
06713	Acedera
06730	Acedera
06207	Aceuchal
06410	Aceuchal
06940	Ahillones
06840	Alange
06170	Albuera, La
06510	Alburquerque
06519	Alburquerque
06131	Alconchel
06393	Alconera
06894	Aljucén
06171	Almendral
06200	Almendralejo
06850	Arroyo de San Serván
06329	Atalaya
06920	Azuaga
06929	Azuaga
06170	Badajoz
06180	Badajoz
06181	Badajoz
06182	Badajoz
06183	Badajoz
06011	Badajoz
06195	Badajoz
06194	Badajoz
06193	Badajoz
06003	Badajoz
06010	Badajoz
06002	Badajoz
06004	Badajoz
06005	Badajoz
06006	Badajoz
06007	Badajoz
06008	Badajoz
06009	Badajoz
06001	Badajoz
06160	Barcarrota
06659	Baterno
06428	Benquerencia de la Serena
06429	Benquerencia de la Serena
06613	Benquerencia de la Serena
06615	Benquerencia de la Serena
06930	Berlanga
06250	Bienvenida
06394	Bodonal de la Sierra
06370	Burguillos del Cerro
06600	Cabeza del Buey
06614	Cabeza del Buey
06293	Cabeza la Vaca
06810	Calamonte
06292	Calera de León
06249	Calzadilla de los Barros
06459	Campanario
06460	Campanario
06443	Campillo de Llerena
06612	Capilla
06249	Carmonita
06488	Carmonita
06894	Carrascalejo, El
06770	Casas de Don Pedro
06960	Casas de Reina
06680	Castilblanco
06420	Castuera
06518	Codosera, La
06487	Cordobilla de Lácara
06469	Coronada, La
06196	Corte de Peleas
06479	Cristina
06105	Cheles
06820	Don Álvaro
06412	Don Benito
06711	Don Benito
06410	Don Benito
06400	Don Benito
06717	Don Benito
06197	Entrín Bajo
06860	Esparragalejo
06439	Esparragosa de la Serena
06620	Esparragosa de Lares
06390	Feria
06340	Fregenal de la Sierra
06660	Fuenlabrada de los Montes
06240	Fuente de Cantos
06980	Fuente del Arco
06360	Fuente del Maestre
06280	Fuentes de León
06690	Garbayuela
06656	Garlitos
06870	Garrovilla, La
06910	Granja de Torrehermosa
06410	Guareña
06470	Guareña
06174	Haba, La
06714	Haba, La
06692	Helechosa de los Montes
06670	Herrera del Duque
06679	Herrera del Duque
06441	Higuera de la Serena
06445	Higuera de Llerena
06132	Higuera de Vargas
06350	Higuera la Real
